               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.039744,            0.065833,           0.0056029,             0.92821,             0.89583,             0.92896,             0.45147,            0.044192,            0.068488,           0.0052687,           0.0074458,           0.0074458,           0.0074458
                 131,            0.039811,            0.070572,           0.0053821,             0.93723,             0.92236,             0.94553,              0.4726,            0.042934,            0.068474,           0.0051568,            0.007426,            0.007426,            0.007426
                 132,            0.041358,            0.065394,           0.0055015,             0.94015,             0.91449,             0.93559,             0.43617,             0.04523,            0.069126,            0.005115,           0.0074062,           0.0074062,           0.0074062
                 133,             0.03893,            0.064899,           0.0052713,             0.93276,              0.9307,             0.94979,             0.48867,            0.041122,            0.067346,           0.0049487,           0.0073864,           0.0073864,           0.0073864
                 134,            0.039956,            0.068087,           0.0050002,             0.93178,             0.90914,             0.94098,              0.4265,            0.045593,            0.068097,           0.0048678,           0.0073666,           0.0073666,           0.0073666
                 135,            0.037973,            0.061079,           0.0050272,             0.92909,             0.92965,             0.95077,             0.46345,            0.043627,            0.068239,           0.0050551,           0.0073468,           0.0073468,           0.0073468
                 136,            0.040056,            0.064057,           0.0051119,             0.92496,             0.89761,             0.91579,             0.42194,             0.04632,            0.068988,           0.0047844,            0.007327,            0.007327,            0.007327
                 137,            0.041958,            0.068105,           0.0051474,              0.9459,             0.92428,             0.94512,             0.49228,            0.040347,            0.067444,           0.0048635,           0.0073072,           0.0073072,           0.0073072
                 138,            0.038842,            0.065897,           0.0050752,             0.92237,              0.9086,             0.93015,             0.45425,            0.043716,            0.068354,           0.0049088,           0.0072874,           0.0072874,           0.0072874
                 139,            0.039683,             0.06378,           0.0047826,             0.94311,             0.91725,             0.94349,             0.47504,            0.042877,            0.068298,           0.0050634,           0.0072676,           0.0072676,           0.0072676
                 140,            0.038588,            0.062581,           0.0045903,             0.94282,             0.91365,             0.94265,             0.47695,            0.041885,            0.068885,           0.0053193,           0.0072478,           0.0072478,           0.0072478
                 141,            0.040157,            0.064457,           0.0049742,             0.90937,             0.88818,             0.90517,              0.3933,            0.047991,            0.070179,           0.0046487,            0.007228,            0.007228,            0.007228
                 142,            0.038893,            0.065752,           0.0047907,             0.93259,             0.93431,             0.95044,             0.48083,            0.041419,            0.068187,           0.0046578,           0.0072082,           0.0072082,           0.0072082
                 143,            0.040104,            0.064048,           0.0051602,             0.92654,             0.91343,             0.93787,              0.4645,            0.042514,            0.068472,           0.0051426,           0.0071884,           0.0071884,           0.0071884
                 144,            0.037846,            0.062652,           0.0047057,             0.92346,             0.92782,             0.93964,             0.47958,             0.04121,            0.068653,           0.0052663,           0.0071686,           0.0071686,           0.0071686
                 145,            0.039839,             0.06373,           0.0050592,             0.91624,             0.91173,             0.91871,              0.4183,              0.0469,            0.070294,           0.0047932,           0.0071488,           0.0071488,           0.0071488
